Time,Centre position X,Centre position Y
0.000,,
0.210,294,116
0.330,294,117
0.450,292,119
0.560,291,121
0.670,290,124
0.800,289,127
0.920,289,129
1.050,288,129
1.170,287,129
1.280,287,129
1.390,288,128
1.500,289,130
1.620,289,134
1.730,289,142
1.850,289,146
1.960,289,150
2.090,292,156
2.200,292,160
2.310,291,160
2.430,288,161
2.550,287,166
2.660,286,171
2.770,285,172
2.880,284,172
3.010,284,173
3.120,285,173
3.230,287,179
3.340,288,186
3.470,288,192
3.580,289,195
3.690,291,198
3.800,292,199
3.930,291,199
4.040,291,198
4.170,291,198
4.290,289,199
4.400,286,204
4.520,286,209
4.640,284,215
4.750,284,215
4.870,284,215
4.990,285,214
5.110,285,221
5.230,286,227
5.340,287,234
5.460,287,238
5.570,289,242
5.690,290,244
5.810,290,243
5.920,291,244
6.040,290,242
6.150,288,240
6.270,286,243
6.400,285,246
6.520,284,247
6.640,285,246
6.760,285,244
6.870,283,244
6.980,282,244
7.100,282,245
7.220,281,245
7.330,278,245
7.430,276,246
7.580,261,248
7.700,250,248
7.810,243,249
7.930,236,249
8.050,228,248
8.160,221,248
8.270,218,247
8.380,215,247
8.500,215,247
8.630,213,249
8.740,203,250
8.850,195,252
8.970,187,251
9.080,179,250
9.200,171,250
9.310,166,249
9.440,164,250
9.560,165,251
9.670,166,250
9.790,162,249
9.900,161,250
10.020,160,250
10.130,160,249
10.250,162,251
10.360,161,252
10.490,159,252
10.610,158,253
10.710,158,254
10.830,157,254
10.940,158,254
11.060,157,252
11.170,155,251
11.300,154,251
11.410,154,254
11.540,155,255
11.660,153,254
11.770,153,253
11.880,154,251
12.000,154,249
12.120,155,248
12.240,156,248
12.360,156,248
12.480,156,249
12.590,159,250
12.710,163,250
12.830,170,250
12.940,176,249
13.060,182,248
13.170,188,247
13.280,191,246
13.390,196,246
13.510,201,245
13.630,206,246
13.740,213,247
13.860,214,247
13.980,212,247
14.100,211,246
14.220,220,246
14.340,228,246
14.460,239,245
14.580,248,245
14.690,252,244
14.810,253,245
14.930,255,245
15.040,255,245
15.160,256,244
15.280,256,244
15.390,256,245
15.510,256,244
15.620,255,245
15.730,257,245
15.830,262,246
15.940,264,248
16.050,263,247
16.170,263,248
16.300,264,248
16.400,264,248
16.520,263,247
16.630,263,246
16.740,264,245
16.840,266,245
16.960,264,245
17.080,264,245
17.200,264,245
17.320,265,244
17.430,266,244
17.550,264,244
17.660,264,245
17.780,266,247
17.910,270,249
18.030,272,250
18.150,272,250
18.270,271,250
18.380,270,250
18.510,269,249
18.620,265,247
18.740,263,247
18.860,260,249
18.970,254,250
19.090,246,253
19.210,231,253
19.320,217,252
19.440,198,251
19.560,187,251
19.670,175,251
19.790,164,251
19.910,160,252
20.030,157,252
20.150,155,251
20.260,154,251
20.380,152,251
20.500,150,250
20.620,151,251
20.740,152,251
20.850,153,251
20.960,156,252
21.080,154,254
21.190,152,252
21.310,152,252
21.420,150,251
21.540,148,251
21.650,146,252
21.770,145,251
21.880,145,251
22.010,148,251
22.120,151,250
22.240,151,249
22.370,158,249
22.480,164,249
22.590,171,248
22.720,174,248
22.830,171,247
22.960,173,247
23.070,174,246
23.180,174,246
23.300,177,246
23.410,184,247
23.520,191,247
23.640,195,250
23.760,200,251
23.870,204,252
23.990,204,251
24.110,206,253
24.220,206,252
24.340,204,252
24.460,203,252
24.590,202,253
24.700,201,253
24.820,202,254
24.930,203,254
25.050,202,253
25.160,202,252
25.280,201,251
25.400,200,250
25.520,206,250
25.630,217,250
25.750,226,250
25.860,240,250
25.980,247,250
26.090,252,250
26.210,254,249
26.340,255,247
26.450,257,247
26.570,258,246
26.680,259,246
26.810,259,246
26.920,259,246
27.040,260,247
27.150,263,249
27.260,268,249
27.380,270,250
27.500,269,250
27.630,270,250
27.750,271,251
27.860,272,253
27.980,274,255
28.090,274,255
28.220,272,253
28.330,268,251
28.450,267,251
28.580,267,250
28.700,267,249
28.820,269,249
28.940,273,247
29.050,278,246
29.170,280,245
29.270,280,244
29.380,279,245
29.490,279,245
29.610,279,244
29.740,277,244
29.850,279,243
29.970,279,243
30.090,279,243
30.210,276,245
30.320,275,246
30.440,280,248
30.550,284,249
30.670,289,249
30.790,293,249
30.920,298,251
31.030,304,250
31.140,313,249
31.260,322,249
31.380,324,248
31.500,331,248
31.610,338,249
31.720,346,250
31.840,355,250
31.960,366,250
32.070,374,249
32.180,380,249
32.300,389,248
32.410,397,247
32.530,405,248
32.640,412,248
32.760,414,249
32.870,417,250
32.990,417,250
33.110,417,249
33.230,411,249
33.330,409,248
33.460,413,247
33.560,416,247
33.690,418,247
33.810,420,248
33.920,420,247
34.030,421,246
34.150,422,245
34.270,422,245
34.390,420,248
34.500,419,249
34.620,417,250
34.740,416,250
34.850,415,250
34.960,411,250
35.080,404,250
35.200,399,251
35.310,398,252
35.420,396,252
35.530,394,252
35.640,386,251
35.760,376,249
35.880,366,248
35.990,357,248
36.110,352,249
36.240,343,251
36.350,335,250
36.460,331,249
36.570,325,247
36.690,319,246
36.800,317,246
36.920,317,246
37.040,316,246
37.150,315,246
37.270,315,245
37.390,317,247
37.510,317,248
37.630,314,248
37.750,312,250
37.870,311,250
37.980,310,250
38.100,310,250
38.210,310,250
38.330,309,251
38.440,309,251
38.550,310,250
38.670,306,249
38.800,303,248
38.910,299,249
39.030,297,249
39.150,298,248
39.270,298,247
39.390,297,246
39.510,297,246
39.620,298,246
39.730,299,247
39.850,301,248
39.960,297,249
40.080,292,250
40.190,287,251
40.310,278,250
40.420,259,249
40.550,249,248
40.660,231,247
40.780,218,246
40.890,205,247
41.010,195,248
41.130,182,249
41.240,173,250
41.360,162,251
41.470,160,253
41.590,159,254
41.710,157,254
41.830,155,254
41.930,150,252
42.050,147,251
42.170,146,250
42.280,145,249
42.390,146,248
42.510,147,247
42.630,147,246
42.740,150,246
42.860,148,246
42.980,145,249
43.100,145,249
43.210,147,249
43.330,149,250
43.450,153,251
43.570,158,251
43.690,162,252
43.810,164,252
43.930,168,252
44.050,175,253
44.160,180,251
44.270,189,251
44.380,199,251
44.500,206,251
44.610,209,252
44.720,220,252
44.840,227,253
44.950,233,253
45.080,238,253
45.190,247,253
45.300,250,253
45.420,252,251
45.530,257,249
45.640,261,248
45.760,263,248
45.880,262,248
46.010,261,249
46.120,261,248
46.240,263,247
46.360,264,247
46.480,266,246
46.590,267,246
46.700,267,246
46.820,267,247
46.950,272,249
47.070,279,251
47.180,278,250
47.290,278,249
47.400,278,250
47.530,280,253
47.640,281,255
47.750,282,256
47.860,280,255
47.980,279,256
48.100,278,257
48.210,277,257
48.330,277,257
48.440,277,257
48.550,276,256
48.680,277,255
48.800,278,253
48.920,280,253
49.040,285,252
49.150,290,252
49.270,297,251
49.390,308,251
49.510,329,251
49.630,347,251
49.730,360,251
49.840,372,251
49.960,389,250
50.080,401,249
50.190,410,249
50.320,417,247
50.430,418,245
50.530,419,245
50.650,419,247
50.760,422,248
50.870,425,248
50.980,427,249
51.100,429,249
51.220,430,249
51.340,431,249
51.440,430,248
51.560,430,247
51.680,430,248
51.790,431,248
51.910,431,248
52.020,431,247
52.140,431,248
52.260,428,248
52.380,424,247
52.500,422,248
52.620,418,249
52.740,417,249
52.850,417,249
52.960,417,251
53.080,419,251
53.200,417,250
53.310,417,250
53.430,417,250
53.540,417,250
53.650,417,251
53.770,417,250
53.890,420,250
54.000,419,248
54.110,419,248
54.230,420,249
54.340,422,249
54.450,425,249
54.570,426,250
54.680,427,249
54.800,427,248
54.910,424,248
55.040,423,248
55.150,419,249
55.260,416,251
55.380,414,251
55.490,414,252
55.600,415,252
55.720,415,252
55.850,416,252
55.970,417,252
56.080,417,252
56.190,417,251
56.310,417,252
56.420,418,251
56.540,417,251
56.650,418,251
56.770,417,250
56.880,413,248
57.000,407,247
57.110,406,247
57.230,403,247
57.340,399,246
57.460,396,245
57.570,390,246
57.680,386,246
57.790,381,245
57.910,375,245
58.030,373,245
58.140,373,244
58.260,370,244
58.380,371,244
58.500,372,245
58.620,371,246
58.740,363,250
58.850,353,252
58.960,349,254
59.070,342,253
59.190,333,252
59.300,329,252
59.410,324,251
59.530,320,250
59.650,318,250
59.760,319,252
59.870,318,252
59.980,315,253
60.100,314,253
60.210,313,253
60.330,314,253
60.460,315,253
60.580,314,253
60.700,315,253
60.820,315,253
60.920,317,253
61.050,316,252
61.170,313,250
61.280,310,248
61.410,309,248
61.530,309,247
61.650,308,247
61.750,307,246
61.870,307,246
61.980,306,246
62.100,304,244
62.210,304,244
62.330,305,244
62.440,305,245
62.560,304,244
62.670,299,243
62.780,296,241
62.890,296,241
63.010,296,241
63.130,295,239
63.240,294,237
63.350,292,236
63.460,291,236
63.580,292,237
63.690,292,237
63.810,291,236
63.920,291,236
64.030,292,237
64.140,294,238
64.260,296,241
64.370,296,241
64.490,295,237
64.600,294,234
64.710,294,231
64.840,294,231
64.950,293,230
65.070,293,229
65.170,293,228
65.280,293,228
65.400,294,232
65.510,297,240
65.640,302,244
65.750,302,247
65.880,298,248
66.000,295,249
66.120,293,250
66.240,292,250
66.360,291,250
66.480,289,251
66.580,289,251
66.710,289,250
66.820,287,250
66.940,280,251
67.060,269,250
67.180,250,248
67.300,237,247
67.410,220,246
67.530,205,246
67.640,187,247
67.750,174,248
67.870,163,249
67.990,157,251
68.110,155,251
68.210,152,253
68.330,146,251
68.440,145,251
68.560,144,251
68.690,147,251
68.800,149,252
68.920,150,253
69.050,152,254
69.170,154,253
69.280,151,252
69.400,149,251
69.510,149,251
69.630,150,253
69.750,151,251
69.860,149,249
69.980,147,247
70.090,146,249
70.210,145,249
70.340,145,249
70.440,144,249
70.550,144,249
70.670,144,249
70.790,144,249
70.900,144,250
71.010,144,249
71.110,144,249
71.240,144,249
71.350,144,249
71.460,146,250
71.580,145,249
71.690,146,250
71.810,146,251
71.920,146,251
72.040,145,252
72.160,146,251
72.280,146,251
72.400,146,250
72.520,147,250
72.630,147,249
72.750,149,249
72.860,150,249
72.980,149,250
73.090,150,249
73.200,149,250
73.320,148,250
73.430,149,249
73.540,148,250
73.660,148,250
73.770,148,250
73.890,148,250
74.000,148,250
74.120,147,250
74.230,148,250
74.360,148,250
74.470,148,250
74.580,147,250
74.690,148,250
74.810,148,250
74.930,148,250
75.050,148,250
75.160,148,250
75.280,148,250
75.400,148,250
75.520,148,250
75.630,148,250
75.740,148,250
75.860,148,250
75.980,148,251
76.110,148,251
76.210,148,251
76.320,148,251
76.440,148,250
76.560,148,250
76.680,148,250
76.790,148,250
76.900,148,251
77.030,148,251
77.150,148,250
77.270,148,250
77.380,148,251
77.500,148,250
77.610,148,250
77.720,146,250
77.830,145,251
77.950,145,250
78.060,145,250
78.170,147,251
78.290,147,252
78.410,147,251
78.520,147,252
78.630,152,252
78.740,154,252
78.860,157,252
78.980,161,253
79.100,164,253
79.220,162,252
79.330,163,252
79.460,171,251
79.570,178,252
79.680,189,252
79.790,196,252
79.920,203,252
80.040,211,252
80.150,216,253
80.270,224,252
80.390,229,253
80.510,231,254
80.620,233,255
80.730,232,255
80.850,228,254
80.980,225,254
81.090,223,254
81.210,223,253
81.330,225,253
81.440,237,250
81.560,246,250
81.680,250,249
81.810,254,250
81.910,259,249
82.020,259,250
82.140,262,250
82.260,266,250
82.370,267,249
82.490,265,248
82.620,266,248
82.740,266,247
82.850,267,247
82.970,268,246
83.090,268,246
83.210,268,248
83.330,272,249
83.440,278,249
83.560,284,250
83.670,292,250
